id,type,heading,totalCount,numSubCategories,subHeading,numOfDuas,arabic,roman,translation,refText,refType,refChapter,headingRoman
1,Sleeping,Supplications at the time of sleeping,4,0,Supplications at the time of sleeping,4,"اٰمَنَ الرَّسُوۡلُ بِمَاۤ اُنۡزِلَ اِلَیۡہِ مِنۡ رَّبِّہٖ وَ الۡمُؤۡمِنُوۡنَ ؕ کُلٌّ اٰمَنَ بِاللّٰہِ وَ مَلٰٓئِکَتِہٖ وَ کُتُبِہٖ وَ رُسُلِہٖ ۟ لَا نُفَرِّقُ بَیۡنَ اَحَدٍ مِّنۡ رُّسُلِہٖ ۟ وَ قَالُوۡا سَمِعۡنَا وَ اَطَعۡنَا ٭۫ غُفۡرَانَکَ رَبَّنَا وَ اِلَیۡکَ الۡمَصِیۡرُ ﴿۲۸۵﴾ لَا يُكَلِّفُ اللهُ نَفْسًا إِلَّا وُسْعَهَاْ لَهَامَا
كَسَبَتْ وَعَلَيْهَا مَا اكْتَسَبَتْ رَبَّنَالا
تُوَاخِذُنَا إِنْ تَّسِيْنَا أوْ اَخْطَأْناً رَبَنَاوَلا
تَحْيِلُ عَلَيْنَآ اِصْرًاكَمَا حَمَلْتَهَ عَلَى
انَّذِيْنَ مِنْ قَبْلِنَا رَبَنَاوَلَا تُحَتِّلْنَا مَالَا
طَاقَةًَ لَنَابِهِ وَاعْفُ عَنَّا وَاغْفِرْ لَنَاٌ وَ
ارْحَمْنَا أَنْتَ مَوْلينَا فَانْصُرْنَا عَلَى الْقَوْمِ
الْكُفِرِ يْنَ ","رسول اس چیز پر ایمان لایا جو اس کے رب کی طرف سے اس پر نازل کی گئی، اور مومن بھی (ایمان لائے)، سب نے اللہ، اُس کے فرشتوں، اُس کی کتابوں اور اُس کے رسولوں پر ایمان لایا — ہم اس کے رسولوں میں کسی کے درمیان فرق نہیں کرتے — اور کہا: ہم نے سنا اور اطاعت کی، اے ہمارے رب! ہم تیری بخشش چاہتے ہیں، اور تیری ہی طرف لوٹنا ہے؛ اللہ کسی جان پر اُس کی طاقت سے بڑھ کر بوجھ نہیں ڈالتا، ہر ایک کو وہی ملے گا جو اُس نے کمایا، اور اسی پر وبال ہوگا جو اس نے کمایا، اے ہمارے رب! اگر ہم بھول جائیں یا خطا کر بیٹھیں تو ہمیں نہ پکڑ، اے ہمارے رب! ہم پر ویسا بوجھ نہ ڈال جیسا تُو نے ہم سے پہلے لوگوں پر ڈالا تھا، اے ہمارے رب! ہم پر وہ بوجھ نہ ڈال جس کی ہم میں طاقت نہ ہو، اور ہمیں معاف فرما، ہمیں بخش دے، اور ہم پر رحم فرما، تُو ہی ہمارا کارساز ہے، لہٰذا کافروں کی قوم کے مقابلے میں ہماری مدد فرما۔

","The Messenger believes in what has been send down to him from his Lord, and so do the believers. Each one believes in Allah, His Angels, His Books, and His Messengers. They say: """"We make no distinction between any of His Messengers,"""" and they say: """"We hear, and we obey. (We seek) Your Forgiveness, our Lord, and to You is the return."""" Allah burdens not a person beyond what he can bear. He gets reward for that (good) which he has earned, and he is punished for that (evil) which he has earned. Our Lord! Punish us not if we forget or fall into error. Our Lord! Lay not on us a burden like that which You did lay on those before us. Our Lord! Put not on us a burden greater than we have strength to bear. Pardon us and grant us forgiveness. Have mercy on us. You are our Protector, and help us against the disbelieving people.","These two Verses will be sufficient for anyone who recites them at night before sleeping. Al-Bukhari, cf. Al-Asqalani, Fathul-Bari.",Quran, 2:285-6,سوتے وقت کی دعائیں
1,Sleeping,Supplications at the time of sleeping,4,0,Supplications at the time of sleeping,4,اللّٰھُمَّ بِاسْمِکَ اَمُوْتُ وَاَحْیَا,"اے اللہ! میں تیرے نام کے ساتھ مرتا ہوں اور زندہ ہوتا ہوں۔
","In Your Name , O Allah , I die and I live.","Here, dying and living are metaphors for sleep and wakefulness. This explains why the normal order of these words has been reversed in this Hadith. In other contexts the living is mentioned before dying.",Quran,"Al-Baqarah 2:258, Aal-'Imrdn 3:156, Al-A'raf 7:158",سوتے وقت کی دعائیں
1,Sleeping,Supplications at the time of sleeping,4,0,Supplications at the time of sleeping,4,اَللّٰھُمَّ اِنَّکَ خَلَقْتَ نَفْسِیْ وَاَنْتَ تَوَفَّاھَا، لَکَ مَمَاتُھَا وَمَحْیَاھَا اِنْ اَحْیَیْتَھَا فَاحْفَظْھَا وَاِنْ اَمَتَّھَا فَاغْفِرْلَھَا، اَللّٰھُمَّ اِنِّیْٓ اَسْئَلُکَ الْعَافِیَۃَ,اے اللہ! بلاشبہ تو نے میری جان کو پیدا کیا، اور تو ہی اس کی وفات دینے والا ہے، اس کا مرنا اور جینا تیرے ہی اختیار میں ہے، اگر تو اسے زندہ رکھے تو اسے اپنی حفاظت میں رکھ، اور اگر تو اسے موت دے تو اسے معاف فرما، اے اللہ! میں تجھ سے عافیت کا طلب گار ہوں,"O Allah, You have created my soul and You take it back. Unto You is its death and its life . If You give it life then protect it , and if You cause it to die then forgive it. O Allah, I ask You for strength.","Before you go to bed perform ablutions as you would for prayer, then lie down on your right side and say:The Prophet (SAW) said: """"Whoever says this and dies in his sleep, has died in a state of the natural monotheism (Fitrah)."""" Al-Bukhari, cf. Al-Asqalani, Fathul-Bari",Hadith,Muslim 4/2083 and Ahmad 2/79.,سوتے وقت کی دعائیں
1,Sleeping,Supplications at the time of sleeping,4,0,Supplications at the time of sleeping,4,اَللّٰھُمَّ اَسْلَمْتُ نَفْسِیْٓ اِلَیْکَ وَفَوَّضْتُ اَمْرِیْٓ اِلَیْکَ وَوَجَّھْتُ وَجْھِیْ اِلَیْکَ وَاَلْجَاتُ ظَھْرِیْ اِلَیْکَ، رَغْبَۃً وَّرَھْبَۃً اِلَیْکَ لَا مَلْجَاَ وَلَا مَنْجَاَ مِنْکَ اِلَّآ اِلَیْکَ اٰمَنْتُ بِکِتَابِکَ الَّذِیْٓ اَنْزَلْتَ وَبِنَبِیِّکَ الَّذِیْٓ اَرْسَلْتَ,اے اللہ! میں نے اپنی جان تیرے حوالے کی، اور اپنا تمام معاملہ تیرے سپرد کیا، اپنا رخ تیری طرف کیا، اور اپنی پیٹھ تیرے حوالے کی، تیرے بارے میں رغبت اور خوف کے ساتھ، تیرے سوا نہ کوئی پناہ ہے نہ بچاؤ، میں نے تیری نازل کردہ کتاب پر اور تیرے بھیجے ہوئے نبی محمد صلی اللہ علیہ وسلم پر ایمان لایا,"O Allah,1 I submit myself to You, entrust my affairs to You, turn my face to You, and lay myself down depending upon You , hoping in You and fearing You . There is no refuge , and no escape, except to You. I believe in Your Book (the Qur'an) that You revealed, and the Prophet whom You sent.",Muslim,Hadith, 4/2081.,سوتے وقت کی دعائیں
2,Morning,Supplications at the time of awakening,2,0,Supplications at the time of awakening,2,اَلْحَمْدُ لِلّٰہِ الَّذِیْٓ اَحْیَانَا بَعْدَ مَآ اَمَاتَنَا وَاِلَیْہِ النُّشُوْرُ,سب تعریف اللہ کے لئے ہے جس نے ہمیں موت دینے کے بعد زندگی دی، اور اُسی کی طرف اٹھنا ہے۔,Praise is to Allah Who gives us life after He has caused us to die and to Him is the return., Muslim,Hadith,4/2083,جاگنے کے وقت کی دعائیں
2,Morning,Supplications at the time of awakening,2,0,Supplications at the time of awakening,2,اَلْحَمْدُ لِلّٰہِ الَّذِیْٓ عَافَانِیْ فِیْ جَسَدِیْ وَرَدَّ عَلَیَّ رُوْحِیْ وَاَذِنَ لِیْ بِذِکْرِہٖ,تمام تعریف اللہ کے لئے ہے جس نے مجھے میرے جسم میں عافیت دی، میری روح واپس کی اور مجھے اپنی یاد کرنے کی اجازت دی۔,Praise is to Allah Who gave strength to my body and returned my soul to me and permitted me to remember Him.,Albani's Sahih Tirmiih,Hadith,3/144.,جاگنے کے وقت کی دعائیں
3,Daily,Supplication before entering Lavatory,1,0,Supplication before entering Lavatory,1,بِسْمِ اللّٰہِ اَللّٰھُمَّ اِنِّیْٓ اَعُوْذُبِکَ مِنَ الْخُبْثِ وَالْخَبَآئِثِ,اللہ کے نام سے، اے اللہ! میں تیری پناہ مانگتا ہوں برائیوں اور برے کاموں سے۔,"(Before entering) [In the Name of Allah] . (Then) O Allah , I seek protection in You from the male and female unclean spirits.",The addition of Bismillah at its beginning was reported by Said bin Mansur. See Fathul-Bari ,Hadith,"Al-Bukhari 1/45, Muslim 1/283.",بیت الخلاء میں داخل ہونے سے پہلے کی دعا
4,Daily,Supplication when exiting Lavatory,1,0,Supplication when exiting Lavatory,1,غُفْرَانَکَ,تُو سے معافی,I seek Your forgiveness.,"Abu Dawud, Ibn Majah and At-Tirmithi. An-Nasa'i recorded it in 'Amalul-Yawm wal-Laylah. Also see the checking of Ibn Al-Qayyim's Zadul-Ma'ad,",Hadith,"Ibn Al-Qayyim's Zadul-Ma'ad, 2/387.",بیت الخلاء سے نکلنے کی دعا
5,Prayer,Supplication to Enter mosque,1,0,Supplication to Enter mosque,1,عُوْذُ بِاللّٰہِ الْعَظِیْمِ وَبِوَجْھِہِ الْکَرِیْمِ وَسُلْطَانِہِ الْقَدِیْمِ مِنَ الشَّیْطَانِ الرَّجِیْمِ بِسْمِ اللّٰہِ وَالصَّلٰوۃُ وَالسَّلَامُ عَلٰی رَسُوْلِ اللّٰہِ اَللّٰھُمَّ افْتَحْ لِیْ اَبْوَابَ رَحْمَتِکَ,میں اللہ عظیم کی پناہ لیتا ہوں اور اس کے شریف چہرے اور قدیم سلطنت کی پناہ لیتا ہوں شیطان مردود سے، اللہ کے نام سے، اور درود و سلام ہو اللہ کے رسول پر، اے اللہ! میری لئے اپنی رحمت کے دروازے کھول دے,"I seek refuge in Almighty Allah, by His Noble Face, by His primordial power, from Satan the outcast.1 [In the Name of Allah, and blessings.]2 [And peace be upon the Messenger of Allah.]3 O Allah, open before me the doors of Your mercy.4"," Abu Dawud, Ibn Majah and At-Tirmithi. An-Nasa'i recorded it in 'Amalul-Yawm wal-Laylah. Also see the checking of Ibn Al-Qayyim's Zadul-Ma'ad, ",Hadith,Sahih Ibn Majah 1/128-9.,مسجد میں داخل ہونے کی دعا
6,Prayer,Supplication when leaving mosque,1,0,Supplication when leaving mosque,1,بِسْمِ اللّٰہِ وَالصَّلٰوۃُ وَالسَّلَامُ عَلٰی رَسُوْلِ اللّٰہِ اَللّٰھُمَّ اِنِّیْٓ اَسْئَلُکَ مِنْ فَضْلِکَ اَللّٰھُمَّ اعْصِمْنِیْ مِنَ الشَّیْطَانِ الرَّجِیْم,"اللہ کے نام سے، اور درود و سلام ہو اللہ کے رسول پر، اے اللہ! میں تجھ سے تیرے فضل کا سوال کرتا ہوں، اے اللہ! مجھے شیطان مردود سے محفوظ رکھ۔
","In the Name of Allah, and peace and blessings be upon the Messenger of Allah. O Allah, I ask for Your favor, O Allah, protect me from Satan the outcast.",Abu Dawood ,Hadith,(Hadith 5090).,مسجد سے نکلنے کی دعا
